cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail	min(log_q_ts)	max(log_q_ts)
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	NULL	0	9A674E97-CBF8-7E67-0D07-2B83118FA901	1	1582172601	{"level":0,"stage":0}	1582172601	1582172601
1	37B36CA2-A426-9D26-566A-2E7D8789A936	0082D12A-DB4F-8D3D-3A71-AD48493F3840	4	8E6ED404-F254-4519-C97C-B6A89AD53756	1	1582699556	{"level":1,"stage":1}	1582699556	1582699562
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	0268152B-FB2E-1004-D244-685DFAD132C2	4	99916BDA-A7F0-4F19-CE15-D5ED245BA8B4	1	1582699060	{"level":3,"stage":1}	1582699060	1582699239
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	02CFC0B0-616D-17A2-6B6B-4F681979AA17	1	EE37D496-CFAE-1593-9316-800613D9EBF0	1	1582618286	{"level":1,"stage":1}	1582618286	1582619011
1	37B36CA2-A426-9D26-566A-2E7D8789A936	043213C0-07AF-1739-2C01-977DA2EB6EF4	4	297BBDB8-7F88-F13A-DB6A-1F8CFDE3310C	1	1582705576	{"level":3,"stage":1}	1582705576	1582705615
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	0492FAF3-38CA-12C7-91FC-6AE6BA5100CC	1	2514B9D1-6A00-7C60-8595-E5B49B0DEB2E	1	1582617018	{"level":1,"stage":1}	1582617018	1582617050
1	B954BD1D-35FC-7BDA-31E0-6207487B0DC3	062D06B3-EDF4-DCFE-4A9F-E6598DEFBA48	0	AFAF91F9-A141-93DA-75BE-866A4E3807B7	1	1582173559	{"level":0,"stage":0}	1582173559	1582173559
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	0710F0C2-5CD4-4D9A-9178-7EDA4F70C665	1	19B33778-452A-2BFD-72ED-F15FB759BF62	1	1582605968	{"level":1,"stage":1}	1582605968	1582606012
1	16EF1D82-445B-EBBE-E67D-9131319E366B	073E105C-83C5-9C24-8AF9-E56C15EA95E6	4	EC297C3E-FB81-FC10-E700-5877DC77AE70	1	1582654856	{"level":1,"stage":1}	1582654856	1582654856
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	0771845B-0DEF-BDEB-FFC3-8AA4C6E5B2DC	4	C50A6940-F7E6-6A18-FE68-446AE38356DD	1	1582674862	{"level":1,"stage":1}	1582674862	1582674862
1	37B36CA2-A426-9D26-566A-2E7D8789A936	07FCFC3D-70AC-EB73-6217-723609B795F7	4	30F69D52-A9E0-BE50-DF3B-287952CA425D	1	1582677716	{"level":1,"stage":1}	1582677716	1582677716
1	16EF1D82-445B-EBBE-E67D-9131319E366B	091FF1D7-F74B-A03E-27B2-DC46D3D4B647	5	F276514B-A920-3303-841A-24D3E0C749D0	1	1582690307	{"level":4,"stage":1}	1582690307	1582690350
1	DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1	096C0876-260C-BAD8-F8B0-464371861754	0	D211A692-CBDF-5FBB-8216-8C6A53A0C623	1	1582231632	{"level":0,"stage":0}	1582231632	1582231692
1	16EF1D82-445B-EBBE-E67D-9131319E366B	09A2AE67-CAC2-2D99-B464-0685D23904E5	5	5B260366-7C63-2953-9192-75DB2F3C210B	1	1582693240	{"level":4,"stage":1}	1582693240	1582693357
1	37B36CA2-A426-9D26-566A-2E7D8789A936	0A4D37D0-DD93-BD6C-B93C-6C8D81F15646	4	3A18A986-B780-5E96-79AD-A654E6F29241	1	1582696040	{"level":1,"stage":1}	1582696040	1582696188
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	0A5ECF06-301D-7654-317E-911CAE638FFC	4	FDC28E0F-C135-9752-2908-7348A2049739	1	1582655778	{"level":1,"stage":1}	1582655778	1582655784
1	16EF1D82-445B-EBBE-E67D-9131319E366B	0A79EDA0-399F-8A51-3C27-B65071800644	11	53593C73-36CF-22A3-2CDA-8A162954A732	1	1582510850	{"level":11,"stage":0}	1582510850	1582510854
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	0BE99B01-9C2F-C11F-63C2-D84D99603D51	0	2C8FE8E2-B34E-0E84-5285-42E2074739C8	1	1582226720	{"level":0,"stage":0}	1582226720	1582226866
1	9F08D149-4DEB-1A0E-626B-1E4F57FDC006	0EE2BA4C-E80B-17CE-8FE0-B5EA66A8AE05	0	244B2427-6001-0362-2397-FCC8F97376CE	1	1582186645	{"level":0,"stage":0}	1582186645	1582186836
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	10ED0DD6-D1AA-893A-B9E3-24FF9E3D49CB	4	56DD9B02-196F-5190-0776-2F609E7068AC	1	1582657002	{"level":1,"stage":1}	1582657002	1582657009
1	359F5B11-2044-5A5D-168B-AC11DC07F056	10ED13C5-FDFD-541A-F2B5-B0211DB9B7F2	0	57A4197B-F451-E8A9-2C86-97C24CD17605	1	1582184192	{"level":0,"stage":0}	1582184192	1582184235
1	16EF1D82-445B-EBBE-E67D-9131319E366B	1143A3D8-6976-8F2D-4B83-6534590FC3DB	1	991F03E5-CFC5-0F97-083C-3825A79130C4	1	1582614060	{"level":1,"stage":1}	1582614060	1582614090
1	16EF1D82-445B-EBBE-E67D-9131319E366B	11B86C1E-8EA2-915C-8C84-5FA298031100	4	E7980E2B-17D8-5CFC-99F9-42D8A659F657	1	1582655718	{"level":1,"stage":1}	1582655718	1582655741
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	11F6A92C-87C6-9250-F688-F148F584F725	4	1E13EDA9-3421-FAE7-1ED8-5C4E8729A1C7	1	1582656244	{"level":1,"stage":1}	1582656244	1582656244
1	37B36CA2-A426-9D26-566A-2E7D8789A936	12494D12-1A2D-504F-9B2F-1DE7AB8147D4	4	EA85F37C-D8C2-3302-72D9-6888C73736FC	1	1582678167	{"level":1,"stage":1}	1582678167	1582678211
1	16EF1D82-445B-EBBE-E67D-9131319E366B	12EBF4AA-5512-13CE-50BC-DAD15FCE68DE	5	BEE41D72-334E-D8B0-712C-891805BACD1C	1	1582693859	{"level":4,"stage":1}	1582693859	1582693862
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	1338EE44-526E-7FED-F278-55823C9A976C	4	A181E2B2-09FB-B80D-C932-366C7CED5DC4	1	1583017535	{"level":1,"stage":1}	1583017535	1583017557
1	16EF1D82-445B-EBBE-E67D-9131319E366B	1358E6DD-3449-CC1B-C8D1-74D8909156C3	4	EFAFD897-4E84-7FB2-1BF4-D93FA00963A2	1	1582655526	{"level":1,"stage":1}	1582655526	1582655552
1	16EF1D82-445B-EBBE-E67D-9131319E366B	1541E2E0-F209-FA62-E955-B13BD344482F	4	E1ACE242-096C-D8AA-F984-31FD65B91562	1	1582654822	{"level":1,"stage":1}	1582654822	1582654828
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	15FF0E61-F0F8-1345-3031-6301E0FD4DD1	4	5C546074-B970-FE18-A47D-0AF169A0C822	1	1582705735	{"level":1,"stage":1}	1582705735	1582705759
