log_q_id,qid,log_q_ts,uid,gid,vid,cid,dqid,parent_dqid,q_detail,ae_seq_id,q_s_id,g_s_id,tid,cd_id,quest_seqid,qaction_seqid,session_seqid,sessionid,client_ts,foreign_game_id,multiplayer_seqid,quest_hash
1,0,1582172601,8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF,202002,1,1,9A674E97-CBF8-7E67-0D07-2B83118FA901,NULL,"{""level"":0,""stage"":0}",NULL,1,1,1,0,1,1,1,NULL,1582172601846,0,0,NULL
2,0,1582173387,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,202002,1,1,8C3EB010-8C7B-B0E7-F022-1AAC3C06F794,NULL,"{""level"":0,""stage"":0}",NULL,1,1,1,0,1,1,1,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1582173387055,0,0,NULL
3,0,1582173402,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,202002,1,1,8C3EB010-8C7B-B0E7-F022-1AAC3C06F794,NULL,"{""knivesThrown"":13,""time"":14.983333333334}",NULL,0,1,1,0,0,18,18,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1582173402205,0,0,NULL
4,0,1582173402,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,202002,1,1,64C1EF95-8B8D-4588-BA60-FC44A72307EB,NULL,"{""level"":0,""stage"":1}",NULL,1,1,1,0,2,1,19,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1582173402218,0,0,NULL
5,0,1582173411,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,202002,1,1,64C1EF95-8B8D-4588-BA60-FC44A72307EB,NULL,"{""knivesThrown"":21,""time"":24.533333333333}",NULL,0,1,1,0,0,14,32,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1582173411813,0,0,NULL
6,0,1582173411,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,202002,1,1,A0166345-8A08-EECC-9EB5-C4128439DBA8,NULL,"{""level"":0,""stage"":2}",NULL,1,1,1,0,3,1,33,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1582173411816,0,0,NULL
7,0,1582173425,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,202002,1,1,A0166345-8A08-EECC-9EB5-C4128439DBA8,NULL,"{""knivesThrown"":36,""time"":38.149999999999}",NULL,0,1,1,0,0,22,54,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1582173425491,0,0,NULL
8,1,1582173427,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,202002,1,1,AE9CC35B-FD13-C541-B9B0-C997EE3E6BF8,NULL,"{""level"":1,""stage"":0}",NULL,1,1,1,0,4,1,55,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1582173427773,0,0,NULL
9,1,1582173429,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,202002,1,1,AE9CC35B-FD13-C541-B9B0-C997EE3E6BF8,NULL,"{""knivesThrown"":2,""time"":1.8333333333333}",NULL,0,1,1,0,0,5,59,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1582173429661,0,0,NULL
10,0,1582173507,8A8AFE94-2A64-F43C-D14F-DAC3CD70ABF4,202002,1,1,21F1991F-7B5D-B813-E4B1-AE9858FF0577,NULL,"{""level"":0,""stage"":0}",NULL,1,1,1,0,1,1,1,6E74C628-2002-79D7-B3F2-FDBB8FD4202F,1582173507598,0,0,NULL
11,0,1582173559,B954BD1D-35FC-7BDA-31E0-6207487B0DC3,202002,1,1,AFAF91F9-A141-93DA-75BE-866A4E3807B7,NULL,"{""level"":0,""stage"":0}",NULL,1,1,1,0,1,1,1,062D06B3-EDF4-DCFE-4A9F-E6598DEFBA48,1582173558722,0,0,NULL
12,0,1582173589,B954BD1D-35FC-7BDA-31E0-6207487B0DC3,202002,1,1,CE6D3F80-BCB6-2615-3CFF-68B7D3A8A6C6,NULL,"{""level"":0,""stage"":0}",NULL,1,1,1,0,1,1,1,36432CC1-CFFC-6E1E-A4EA-5D4FED68A84D,1582173589341,0,0,NULL
13,0,1582174206,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,34D03948-B170-DDEF-0B99-3FE3376FA3AB,NULL,"{""level"":0,""stage"":0}",NULL,1,1,1,0,1,1,1,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174205926,0,0,NULL
14,0,1582174212,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,648B6CD3-CBBE-64CE-848A-F750FF738B25,NULL,"{""level"":0,""stage"":1}",NULL,1,1,1,0,2,1,12,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174211993,0,0,NULL
15,0,1582174212,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,34D03948-B170-DDEF-0B99-3FE3376FA3AB,NULL,"{""knivesThrown"":6,""time"":6}",NULL,0,1,1,0,0,11,11,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174211991,0,0,NULL
16,0,1582174219,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,DB90E2B0-6BE6-0DF5-2EB8-A3E18F744433,NULL,"{""level"":0,""stage"":2}",NULL,1,1,1,0,3,1,26,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174217967,0,0,NULL
17,0,1582174219,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,648B6CD3-CBBE-64CE-848A-F750FF738B25,NULL,"{""knivesThrown"":14,""time"":11.95}",NULL,0,1,1,0,0,14,25,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174217966,0,0,NULL
18,0,1582174222,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,DB90E2B0-6BE6-0DF5-2EB8-A3E18F744433,NULL,"{""knivesThrown"":19,""time"":16.133333333334}",NULL,0,1,1,0,0,12,37,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174222164,0,0,NULL
19,1,1582174225,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,74D3AEF1-E29C-EA61-CECE-AA937A1C53C9,NULL,"{""level"":1,""stage"":0}",NULL,1,1,1,0,4,1,38,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174224978,0,0,NULL
20,1,1582174226,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,74D3AEF1-E29C-EA61-CECE-AA937A1C53C9,NULL,"{""knivesThrown"":1,""time"":1.3833333333333}",NULL,0,1,1,0,0,4,41,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174226396,0,0,NULL
21,2,1582174227,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,8093F496-9A6A-9B32-0086-53FC8BF135AF,NULL,"{""level"":2,""stage"":0}",NULL,1,1,1,0,5,1,42,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174227243,0,0,NULL
22,2,1582174228,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,8093F496-9A6A-9B32-0086-53FC8BF135AF,NULL,"{""knivesThrown"":1,""time"":1.4333333333333}",NULL,0,1,1,0,0,4,45,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174228711,0,0,NULL
23,3,1582174229,F591BE87-1B2E-D2C0-7000-68346C0B8F76,202002,1,1,DC939A93-186A-5376-FC05-939DBA2DE763,NULL,"{""level"":3,""stage"":0}",NULL,1,1,1,0,6,1,46,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1582174228945,0,0,NULL
