level,knives_thrown
1,4
1,4
1,4
1,5
1,4
1,4
1,11
1,4
1,5
1,3
1,3
1,8
1,13
1,3
1,3
1,3
1,3
1,14
1,5
1,3
1,4
1,5
1,3
1,5
1,5
1,3
1,5
1,7
1,4
1,4
1,3
1,7
1,6
1,3
1,8
1,3
1,9
1,3
1,6
1,3
1,7
1,4
1,19
1,3
1,7
1,13
1,3
1,4
1,9
1,5
1,6
1,6
1,5
1,3
1,4
1,4
1,6
1,3
1,8
1,3
1,6
1,4
1,5
1,14
1,5
1,3
1,11
1,7
1,3
1,3
1,11
1,12
1,16
1,3
1,8
1,15
1,3
1,8
1,3
1,4
1,3
1,10
1,4
1,21
1,5
1,4
1,5
1,4
1,6
1,3
1,5
1,4
2,5
2,4
2,5
2,11
2,6
2,6
2,4
2,11
2,14
2,5
2,4
2,4
2,4
2,16
2,6
2,6
2,9
2,5
2,5
2,11
2,7
2,10
2,7
2,7
2,11
2,9
2,9
2,8
2,5
2,16
2,8
2,9
2,8
2,5
2,7
2,13
2,10
2,11
2,11
2,16
2,8
2,7
2,5
2,9
2,12
2,11
2,4
2,7
2,8
2,4
2,4
2,6
2,5
2,8
2,8
2,7
2,8
2,6
2,9
2,5
2,4
2,13
2,6
2,24
2,11
2,7
2,13
2,5
2,5
2,7
2,6
2,6
2,6
2,7
2,11
2,12
2,8
2,4
2,7
2,7
2,6
2,5
3,6
3,10
3,8
3,24
3,9
3,10
3,6
3,19
3,13
3,8
3,5
3,20
3,8
3,14
3,8
3,9
3,9
3,15
3,15
3,9
3,5
3,7
3,6
3,17
3,13
3,8
3,10
3,11
3,8
3,9
3,10
3,17
3,12
3,8
3,31
3,16
3,13
3,8
3,7
3,5
3,5
3,10
3,8
3,5
3,24
3,8
3,12
3,10
3,14
3,9
3,10
3,12
3,9
3,7
3,17
3,6
3,21
3,8
3,10
3,7
3,10
3,7
3,11
3,11
3,5
3,13
3,9
3,15
3,11
3,7
3,11
3,7
3,11
3,7
4,7
4,8
4,14
4,8
4,5
4,6
4,3
4,3
4,7
4,3
4,3
4,3
4,4
4,3
4,3
4,4
4,3
4,3
4,3
4,37
4,15
4,6
4,4
4,4
4,4
4,10
4,10
4,3
4,19
4,5
4,7
4,4
4,27
4,15
4,14
4,10
4,4
4,6
4,4
4,6
4,4
4,38
4,17
4,5
4,5
4,4
4,5
4,4
4,3
4,4
4,8
4,5
4,3
4,3
4,55
4,4
4,10
4,8
4,4
4,11
4,6
4,11
4,3
4,10
4,4
4,8
4,4
4,4
4,28
4,19
4,10
4,4
4,3
4,6
4,7
4,6
4,8
5,10
5,78
5,16
5,14
5,4
5,4
5,7
5,10
5,17
5,41
5,13
5,73
5,10
5,27
5,13
5,46
5,12
5,12
5,33
5,27
5,59
5,7
5,7
5,21
5,24
5,53
5,50
5,6
5,4
5,8
