level,number-of-plays,count
1,1,53
1,2,10
1,3,3
1,4,1
1,5,0
1,6,1
2,1,55
2,2,7
2,3,1
2,4,1
2,5,0
2,6,1
3,1,53
3,2,5
3,3,1
3,4,2
4,1,38
4,2,6
4,3,0
4,4,1
4,5,0
4,6,0
4,7,0
4,8,0
4,9,1
4,10,0
4,11,0
4,12,0
4,13,0
4,14,1
5,1,38
5,2,5
5,3,0
5,4,0
5,5,0
5,6,1
6,1,36
6,2,3
6,3,1
6,4,0
6,5,0
6,6,1
7,1,32
7,2,2
7,3,0
7,4,1
7,5,0
7,6,1
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,1
8,1,34
8,2,0
8,3,1
8,4,1
8,5,0
8,6,0
8,7,1
9,1,31
9,2,1
9,3,1
9,4,1
10,1,27
10,2,2
10,3,1
10,4,0
10,5,0
10,6,1
10,7,0
10,8,2
10,9,0
10,10,0
10,11,0
10,12,1
11,1,27
11,2,1
11,3,1
11,4,1
11,5,0
11,6,1
11,7,1
11,8,0
11,9,0
11,10,1
12,1,22
12,2,3
12,3,0
12,4,1
12,5,1
