time,player_count
0,524
2050,1
4100,1
10,509
2060,1
4110,1
20,486
2070,1
4120,1
30,443
2080,1
4130,1
40,409
2090,1
4140,1
50,378
2100,1
4150,1
60,357
2110,1
4160,1
70,333
2120,1
4170,1
80,318
2130,1
4180,1
90,303
2140,1
4190,1
100,280
2150,1
4200,1
110,269
2160,1
4210,1
120,249
2170,1
4220,1
130,237
2180,1
4230,1
140,229
2190,1
4240,1
150,220
2200,1
4250,1
160,217
2210,1
4260,1
170,207
2220,1
180,193
2230,1
190,186
2240,1
200,174
2250,1
210,169
2260,1
220,161
2270,1
230,151
2280,1
240,144
2290,1
250,137
2300,1
260,130
2310,1
270,125
2320,1
280,117
2330,1
290,112
2340,1
300,106
2350,1
310,100
2360,1
320,95
2370,1
330,91
2380,1
340,84
2390,1
350,82
2400,1
360,76
2410,1
370,71
2420,1
380,68
2430,1
390,65
2440,1
400,59
2450,1
410,52
2460,1
420,50
2470,1
430,47
2480,1
440,46
2490,1
450,43
2500,1
460,41
2510,1
470,38
2520,1
480,34
2530,1
490,33
2540,1
500,32
2550,1
510,30
2560,1
520,29
2570,1
530,28
2580,1
540,26
2590,1
550,23
2600,1
560,23
2610,1
570,22
2620,1
580,21
2630,1
590,21
2640,1
600,20
2650,1
610,20
2660,1
620,19
2670,1
630,19
2680,1
640,19
2690,1
650,19
2700,1
660,19
2710,1
670,16
2720,1
680,15
2730,1
690,15
2740,1
700,15
2750,1
710,14
2760,1
720,14
2770,1
730,13
2780,1
740,13
2790,1
750,13
2800,1
760,12
2810,1
770,12
2820,1
780,11
2830,1
790,11
2840,1
800,9
2850,1
810,9
2860,1
820,9
2870,1
830,8
2880,1
840,8
2890,1
850,8
2900,1
860,7
2910,1
870,7
2920,1
880,7
2930,1
890,7
2940,1
900,6
2950,1
910,6
2960,1
920,6
2970,1
930,6
2980,1
940,6
2990,1
950,6
3000,1
960,6
3010,1
970,6
3020,1
980,6
3030,1
990,6
3040,1
1000,6
3050,1
1010,6
3060,1
1020,6
3070,1
1030,6
3080,1
1040,6
3090,1
1050,6
3100,1
1060,6
3110,1
1070,6
3120,1
1080,6
3130,1
1090,6
3140,1
1100,6
3150,1
1110,6
3160,1
1120,6
3170,1
1130,6
3180,1
1140,6
3190,1
1150,6
3200,1
1160,6
3210,1
1170,6
3220,1
1180,6
3230,1
1190,6
3240,1
1200,6
3250,1
1210,6
3260,1
1220,6
3270,1
1230,6
3280,1
1240,6
3290,1
1250,6
3300,1
1260,6
3310,1
1270,6
3320,1
1280,6
3330,1
1290,6
3340,1
1300,6
3350,1
1310,6
3360,1
1320,6
3370,1
1330,6
3380,1
1340,5
3390,1
1350,5
3400,1
1360,5
3410,1
1370,5
3420,1
1380,5
3430,1
1390,5
3440,1
1400,5
3450,1
1410,5
3460,1
1420,5
3470,1
1430,5
3480,1
1440,5
3490,1
1450,5
3500,1
1460,5
3510,1
1470,5
3520,1
1480,5
3530,1
1490,5
3540,1
1500,5
3550,1
1510,5
3560,1
1520,5
3570,1
1530,5
3580,1
1540,5
3590,1
1550,4
3600,1
1560,4
3610,1
1570,4
3620,1
1580,4
3630,1
1590,4
3640,1
1600,4
3650,1
1610,4
3660,1
1620,4
3670,1
1630,4
3680,1
1640,4
3690,1
1650,3
3700,1
1660,3
3710,1
1670,2
3720,1
1680,2
3730,1
1690,2
3740,1
1700,2
3750,1
1710,2
3760,1
1720,2
3770,1
1730,2
3780,1
1740,2
3790,1
1750,2
3800,1
1760,2
3810,1
1770,2
3820,1
1780,2
3830,1
1790,2
3840,1
1800,2
3850,1
1810,2
3860,1
1820,2
3870,1
1830,2
3880,1
1840,2
3890,1
1850,2
3900,1
1860,2
3910,1
1870,2
3920,1
1880,2
3930,1
1890,2
3940,1
1900,2
3950,1
1910,2
3960,1
1920,2
3970,1
1930,2
3980,1
1940,2
3990,1
1950,1
4000,1
1960,1
4010,1
1970,1
4020,1
1980,1
4030,1
1990,1
4040,1
2000,1
4050,1
2010,1
4060,1
2020,1
4070,1
2030,1
4080,1
2040,1
4090,1
