level,num-replays,num-players
1.1,1,54
1.1,2,14
1.1,3,10
1.1,4,7
1.1,5,6
1.1,6,5
1.1,7,3
1.1,8,3
1.1,9,3
1.1,10,3
1.1,11,3
1.1,12,1
1.1,13,1
1.1,14,1
1.1,15,1
1.1,16,1
1.1,17,1
1.1,18,1
1.2,1,51
1.2,2,12
1.2,3,3
1.2,4,1
1.2,5,1
1.2,6,1
1.3,1,50
1.3,2,10
1.3,3,3
1.3,4,1
1.3,5,1
1.3,6,1
2.1,1,46
2.1,2,5
2.1,3,2
2.1,4,1
2.1,5,1
2.1,6,1
2.1,7,1
2.1,8,1
2.2,1,46
2.2,2,3
2.2,3,1
2.3,1,41
2.3,2,1
3.1,1,36
3.1,2,1
3.1,3,1
3.2,1,35
3.3,1,34
4.1,1,32
4.1,2,3
4.1,3,2
4.1,4,2
4.1,5,2
4.1,6,1
4.1,7,1
4.1,8,1
4.1,9,1
4.1,10,1
4.2,1,32
4.2,2,1
4.3,1,29
4.3,2,1
5.1,1,29
5.1,2,1
5.2,1,28
5.2,2,1
5.3,1,28
5.3,2,1
6.1,1,27
6.1,2,5
6.2,1,27
6.2,2,4
6.3,1,25
6.3,2,3
6.4,1,16
6.5,1,16
7.1,1,16
7.1,2,1
7.2,1,14
7.3,1,11
8.1,1,7
8.1,2,2
8.1,3,1
9.1,1,7
10.1,1,7
