cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail	min(log_q_ts)	max(log_q_ts)
3	4676A5A3-A477-AC40-7157-DB0FC662A2DC	NULL	4	D64D6519-FE16-8CBC-A703-B71946A77755	1	1583996536	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583996536	1584240791
3	344D89E9-34FF-E59C-249B-529C1CEED255	002571F8-AEB3-D3FF-D0EC-6C76DE521B90	4	4CE7F6A5-7AAC-732E-CD82-083971B9C8FF	1	1583991184	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583991184	1583991328
3	34663FDC-2631-ECDE-1C4D-0BE1AF33C2E7	0026EA69-6947-4EAC-39C3-EBA061749BFA	4	8FD40FFA-624B-764B-3D40-3063718EEEAB	1	1583983918	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583983918	1583983992
3	8935C4F0-8ED3-349C-615B-D2356D11A230	005589CD-A2EB-0378-7427-377473FFDE6D	4	1FD7935E-51F7-BE58-120E-AFBD97F1E9C2	1	1584198012	{"level":1,"stage":1,"hasCompleted":true,"replayCount":"3"}	1584198012	1584198133
3	31CD1F9F-0C0C-CE1F-5CE2-23985BE5CA5E	00629B02-8081-495D-F680-83614F5EB505	4	8974B33D-E3B7-1587-408F-F00B8CF83DC4	1	1583975771	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583975771	1583975820
3	53254E85-F24D-487C-4FD3-171E68FBD369	0069864A-9651-3C7D-E962-4E9D6A4B40ED	4	31070958-9497-35E9-AFD4-EFDF89501713	1	1584211615	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584211615	1584211671
3	C0F6DC86-3E17-55F0-B774-85974FAB509B	00C79260-057A-847A-2565-A5A453AF4D64	4	28CC56A5-9AA3-648B-04AC-818EA20201D3	1	1584220007	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584220007	1584220058
3	83A4D98B-962C-D007-5CC8-500D3AA134CF	00CE2AC6-ABAB-92C0-D74B-39A9E6F7AE74	4	FF3EAAC3-2E10-799D-9677-2E1033481C09	1	1584146516	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584146516	1584147222
3	7D314DFC-D041-DC6A-3C54-D019730B683D	00DA2578-3DC7-71E8-9609-60990DBDE3B6	4	34C9F185-8DC5-BBB5-1CC6-A9788F823A36	1	1584178301	{"level":1,"stage":1,"hasCompleted":false}	1584178301	1584178368
3	E71B808A-08AD-E094-0047-66F48B1355B0	00F886F1-216A-F0DD-2A85-312B3728E821	4	CD7B9C37-ECEC-BEB3-78D0-F772EB3B3450	1	1583979187	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583979187	1583979287
3	2AEF7BE4-B3A5-6A4E-75BE-21EAA5CAEDF5	01150C5E-A9B7-47DA-610D-355D33D958DA	4	703FC126-2AAA-8039-30A8-79F1CB299381	1	1584035949	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584035949	1584036307
3	A1189091-0C5D-B6E5-F1BD-56FC1699F1FC	0120B7F6-1B57-86AF-8DF9-FDC8076501F8	4	DD98762D-9F70-B748-6CAD-949BCE9D0B61	1	1583974031	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1583974031	1583974299
3	2577F55E-1159-C6EE-20A0-B6EC8B593AC0	0153A49D-03C6-0C3B-189F-5B5E24F23D7F	4	D6EF7A23-391E-124F-4E68-82BAB1A4F9BF	1	1584200946	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584200946	1584201096
3	6D2FA69D-C634-8995-F673-EEAC4CBC73E2	01652B5B-3DE9-AFF9-A66C-97342B96BDFE	4	64F7BC1E-CD3F-1F89-E9A3-4820F065D099	1	1584235056	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584235056	1584235295
3	872D75F8-35B7-8AEB-20E8-514A57C0FB0D	016E3BCD-0DF7-E8D9-C89D-FFECEC37E875	4	F54C32DC-AB1E-A71B-6B26-81F54AD5EA32	1	1584219579	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584219579	1584219774
3	116E27D9-597F-7F2E-3F47-770F0DEC1716	01702914-8713-EB24-D12B-74DF19C22516	4	76416F04-CC5D-0C23-8BF6-8E6F846A7958	1	1584079820	{"level":1,"stage":1,"hasCompleted":true,"replayCount":"1"}	1584079820	1584080241
3	9F3BD4BD-E20D-A31E-C9BE-5E0D878EEA36	0175EA9A-A6DC-BFA6-12B5-8C0F7729B242	4	F9E99EF8-0518-2AF4-0E64-141E2CC82186	1	1584152629	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584152629	1584152790
3	A8421110-E0C4-5734-2A7B-B2ED39E26AF4	01902DDF-DB8F-70AC-708B-D0B024DD3E5F	4	9A8B3FA9-DBCC-F1E5-ACC6-5EE918D53A10	1	1584048567	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584048567	1584048770
3	EC8CB6AB-C51D-1E4A-BE02-30B3EB197655	01A662B0-B520-BD31-3EB5-6EC575680466	4	A50B3DAF-D19B-9C67-9096-9CDE5C21E6A6	1	1584216393	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584216393	1584216437
3	F3B1BBD0-E4B6-19A5-193F-B289D0045982	01AAF61B-BAA2-955A-0D9E-7E4B44D51F43	4	BFD021BE-D19C-544E-0514-EC04D3B47BF7	1	1584121284	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"1"}	1584121284	1584121587
3	78721489-FD73-D805-6F3B-676C088B3414	01B05521-B328-2505-1901-9832590299DD	4	4D15F7F0-F0F7-DB45-2A0E-2C5D758C5862	1	1584195670	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584195670	1584195751
3	C2E19365-1059-026F-60BD-27ABAAE1D155	01CE88A0-4E34-A5C2-A363-177E793928F3	4	4B6A10FD-878F-E51D-CEFF-00D90D5C82E9	1	1584067078	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584067078	1584067341
3	402B1FE6-FC7E-C85F-107B-A31F24C3BC54	01F96D0A-E05C-3363-E5B9-12A9F8C6F243	4	872E780F-B75A-13BB-560D-0CBBAB1C530B	1	1584155583	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584155583	1584155826
3	73824D72-A1CB-5446-4A21-FA72887EC3E9	02A449F5-BFEB-9FAB-AD33-F061466C9B3F	4	FA4FD732-0D24-22C9-D166-3B4FF7348BE0	1	1584189309	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584189309	1584189781
3	663C099D-8FE8-3BF7-19CC-7CD1C79DD914	02B71BD0-2524-BBFA-8E23-757D445F7E40	4	5C52380D-3221-1690-1865-D241F87FFE75	1	1584199690	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584199690	1584200039
3	D527EAC8-2EC5-8506-2B5D-122E3989CA2E	02CAD262-5617-2C30-C1DA-A2202CD96D6F	4	0EEA4BE5-BCE6-3ED6-9307-CA08A1531D2B	1	1584240679	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584240679	1584241050
3	E05B6355-B1DB-333E-5C92-5AEEC7BA7792	02E0CF88-9023-30C6-2E37-B20C0111938C	4	48445BA6-22E0-D90F-49F0-9BF094D0763E	1	1584209514	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584209514	1584209690
3	500294B6-C665-592B-4520-F277482D9CFD	02E5A3FA-DA2C-8A85-DEFF-3E405C77E4D7	4	2D2159E3-FE89-F3B7-B9BA-F55DBA1FAEDF	1	1584208816	{"level":1,"stage":1,"hasCompleted":false}	1584208816	1584208823
3	9907292D-8A0C-FFE2-7EC6-D10BEFB5C8D9	02EEA997-F982-4288-298F-75345F7D6F9C	4	F93F3B59-AFCA-DC71-5748-E6F46678E719	1	1584110928	{"level":1,"stage":1,"hasCompleted":false}	1584110928	1584111048
3	0C1F2C73-40DA-83DC-08D9-53FAE4061B70	02F47F00-7A8C-961D-133D-29D1D32E199D	4	70D0F014-1C91-3C87-3061-DBCC05D9B148	1	1584121064	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}	1584121064	1584121305
