time,player_count
0,71
10,68
20,65
30,58
40,52
50,46
60,44
70,43
80,42
90,39
100,37
110,35
120,34
130,34
140,33
150,32
160,32
170,30
180,29
190,25
200,24
210,24
220,24
230,21
240,19
250,17
260,15
270,15
280,15
290,12
300,11
310,9
320,9
330,9
340,9
350,9
360,9
370,8
380,7
390,7
400,7
410,7
420,6
430,6
440,5
450,5
460,5
470,4
480,3
490,3
500,3
510,2
520,2
530,2
540,2
550,1
560,1
570,1
580,1
590,1
600,1
610,1
620,1
630,1
640,1
650,1
660,1
670,1
680,1
690,1
700,1
710,1
720,1
730,1
740,1
750,1
760,1
770,1
780,1
790,1
800,1
810,1
820,1
830,1
840,1
850,1
