cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail
4	6C696369-A3DD-7268-B795-DC0E40D868CA	42E58B7E-9A0E-BC1C-4259-D67FC0FC1887	4	A2D534F7-C3DB-9F13-3C19-B6681217816B	1	1583914603	{"level":1,"stage":1,"hasCompleted":false,"throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	4	BD15C54F-C288-BE21-9750-972C5045ED7A	1	1583914713	{"level":1,"stage":1,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	5	E73AD8F7-9935-81DF-7D12-2C643DAFC962	1	1583914717	{"level":1,"stage":2,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	6	B2069BDD-0A27-B583-BF02-8EE92E606BD1	1	1583914719	{"level":1,"stage":3,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	9	D72F0C02-6E2E-0AFC-0824-1A3733BAD4D8	1	1583914757	{"level":8,"stage":1,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	31	9D643E59-C034-C2A4-A87C-FDB9F3B441EF	1	1583914760	{"level":6,"stage":1,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	16	6AA49575-E361-B129-4B5F-E02CDBB5A483	1	1583914765	{"level":5,"stage":1,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	17	57DB36A6-E9E8-8AD1-9144-ACEA7AAED971	1	1583914772	{"level":5,"stage":2,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	18	038773D1-CC49-0B4B-73E9-1F32750B4193	1	1583914786	{"level":5,"stage":3,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	13	4F70CC60-4D41-F946-FEF8-F945DCE9D054	1	1583914809	{"level":4,"stage":1,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	14	C9E997B5-4553-2515-19A1-B6D859E653BE	1	1583914815	{"level":4,"stage":2,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	16EF1D82-445B-EBBE-E67D-9131319E366B	DE66B5CD-EE14-25A3-09B5-606C13B38F6B	15	55D36AE6-9D53-8F4A-7485-7128DDC55A83	1	1583914817	{"level":4,"stage":3,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	4	813B97F3-BA75-F879-5A9C-D7CE621B2611	1	1583915280	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	5	6BDED062-AF05-C9D2-D9CC-9565CB6D235C	1	1583915283	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	6	437345FE-AC4C-4F40-829D-8661BB3A1B3A	1	1583915285	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	4	1C127D21-18A2-56C2-E5CE-A06ACFEE4163	1	1583915289	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"1","throwerSpeed":224}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	4	569B1EA2-6D3C-DA90-AB53-E0339A0FD5BE	1	1583915291	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"2","throwerSpeed":223}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	4	CFA208A8-B47F-8AA1-A5CD-B3310B6E52DA	1	1583915293	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"3","throwerSpeed":222}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	4	D466CBDE-48C1-CA16-07F5-49E38E9A482D	1	1583915295	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"4","throwerSpeed":221}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	5	FFFE2CC9-64FB-DAC5-6881-6D78BAE01894	1	1583915297	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"1","throwerSpeed":221}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	6	B3D6FA8E-80A2-1A16-79B0-441EC9663BD7	1	1583915300	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"1","throwerSpeed":221}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	7	92551042-6382-BD56-AAE3-64534989B826	1	1583915305	{"level":2,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":228}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	8	EBF8D038-E2E7-EEAB-3D3B-A80CEA0F5D23	1	1583915316	{"level":2,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":228}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	9	E7C986E1-2012-C3C9-8CF3-1ED6DE3F2D74	1	1583915326	{"level":2,"stage":3,"hasCompleted":false,"replayCount":"0","throwerSpeed":228}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	10	26FDBF43-06CF-E033-6F3F-CFC3F1F0B955	1	1583915336	{"level":3,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":228}
4	1898DB14-A347-A9DC-AC7F-642D227E2590	B8CAEB7C-15FD-3C5B-7840-941BB7149842	10	411A13A8-99B5-7A95-E959-24F6BBBE39F3	1	1583915342	{"level":3,"stage":1,"hasCompleted":false,"replayCount":"1","throwerSpeed":227}
