cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail	min(log_q_ts)	max(log_q_ts)
4	FA67BF5A-25EE-079F-FD27-BE2FFE30D57C	00C93555-0B5C-EC85-3B66-259D7D5C50C7	4	8D590E9D-EDC2-30E2-6904-8D261E2CDF94	1	1583958593	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583958593	1583958786
4	70174D42-69F7-10A8-BC82-16F1EF5134DF	055B3125-155E-2384-36A7-1B7A6158B220	4	3E3B5A7C-0B5B-98B7-E6B9-5B2FF14CDFDC	1	1583960743	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583960743	1583961112
4	4F5F8B6B-4F08-8E02-ABE0-E81AFCAAD03D	059DE4D3-422B-D158-0F58-FBC0CF8C5D35	4	2D66429C-AE02-738A-06F3-A919501FAA0E	1	1583939455	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583939455	1583939869
4	6C696369-A3DD-7268-B795-DC0E40D868CA	073D3DB7-4723-B87B-407F-0F0D17B14838	4	CD6E800A-0764-F124-3528-90AF190EBA06	1	1583959748	{"level":1,"stage":1,"hasCompleted":false,"throwerSpeed":225}	1583959748	1583959750
4	D5ABB3D0-F9B9-82F0-BC56-511FD69C5D21	093C6163-F239-A983-4341-29854CFFF0B9	4	DA070290-311A-B8C4-69FE-41D8C8BA8818	1	1583966153	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583966153	1583966213
4	AB5A833A-F037-BDE6-162E-4D7FEBA750BC	122021D9-870A-8446-62CE-B96D20E220B9	4	26D8AB2A-837C-64F2-DDDB-DD81EEBAFF7A	1	1583961541	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583961541	1583961541
4	45BEBE37-95F8-7E34-0622-2E1D5C73BA5D	1300BC88-AD4A-B32C-ABB3-C2D7FA535C2F	4	8142D587-9021-43EF-CD91-5F0B268E98E1	1	1583959643	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583959643	1583959929
4	7E07F590-C90C-7F81-A10A-764A420194B5	132D3571-3163-11CD-A6BB-634ECA5D9B8B	4	CE4643C4-3C0D-2254-857C-895B9946F960	1	1583960987	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583960987	1583961010
4	1AC6FEE3-2EE0-B7F7-E53B-64320A50FE62	137ADD14-ACB4-1878-BD3C-E88E0837843C	4	DEBD9037-5D38-00A6-366E-F7CAAFBD62DA	1	1583970913	{"level":1,"stage":1,"hasCompleted":false,"throwerSpeed":225}	1583970913	1583971477
4	B8CE05CF-BDB7-219D-9454-F71E489593C9	15889556-05C9-F17E-5011-210054814ED3	4	4AA2B054-A8CC-2290-8F50-323D00EE9BBD	1	1583959946	{"level":1,"stage":1,"hasCompleted":false,"throwerSpeed":225}	1583959946	1583959992
4	8B005FDF-259F-3DF8-9FF7-15000F42B48F	1902611C-4D6A-02DB-9D92-5548054A1344	4	623906CB-1447-2C61-C954-53414EAB3C2B	1	1583988241	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583988241	1583988289
4	DF3AA65B-CC7D-AA27-0637-8D2453177900	19E2F82B-5416-A9B5-B0EC-EDC05DB3AB8B	4	4883DFE9-10CA-8519-0F6B-33FF36923FD6	1	1583959242	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583959242	1583959519
4	B05B0D43-FC90-569E-87F1-9CECAB7BDD39	1D717EBA-13FB-A636-191E-78F86D1D008C	4	B51937BA-A9F5-3B01-0533-9EED3D2AB832	1	1583960469	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}	1583960469	1583960771
4	AEAC3A80-1508-07F8-CC15-3D696E8AA9D6	1FE5C499-959B-BA05-BA47-F3FD20710998	4	1597FD4A-37F2-D012-A2CB-9F202F1F7B30	1	1583981746	{"level":1,"stage":1,"hasCompleted":false,"throwerSpeed":225}	1583981746	1583981789
4	E39A2EC1-8DCD-9598-2581-237389281F04	2012A0BB-AE30-9AA4-C3C4-E545A0B1F15B	4	4BA48155-58C5-3A54-6D48-AB898EDF830B	1	1583966044	{"level":1,"stage":1,"hasCompleted":false,"throwerSpeed":225}	1583966044	1583966134
