cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	1	F52A04D6-911C-2754-E73D-870D28758A70	1	1584243233	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	2	3F40C048-277D-F8BE-3B9E-ADA1EF0A7A71	1	1584243236	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	1	F52A04D6-911C-2754-E73D-870D28758A70	0	1584243236	{"level":1,"stage":1,"knivesThrown":19,"time":2.2666666666667,"levelTime":2.2666666666667,"levelKnivesThrown":19,"throwerSpeed":225}
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	3	831AF644-B058-4292-1767-D57EADE9A327	1	1584243238	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	2	3F40C048-277D-F8BE-3B9E-ADA1EF0A7A71	0	1584243238	{"level":1,"stage":2,"knivesThrown":29,"time":4.2833333333333,"levelTime":2.0166666666667,"levelKnivesThrown":10,"throwerSpeed":225}
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	3	831AF644-B058-4292-1767-D57EADE9A327	0	1584243241	{"level":1,"stage":3,"knivesThrown":50,"time":7.7166666666666,"levelTime":3.4333333333333,"levelKnivesThrown":21,"throwerSpeed":225,"completeStar":true,"timePar":10,"knivesPar":13,"timeStar":true,"knivesStar":false}
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	4	7A18BDA4-B299-52A5-877E-A86929AACB50	1	1584243242	{"level":2,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	5	68EDA2AB-6D43-5FDB-FC47-21F603874B5A	1	1584243253	{"level":2,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
5	04190E0D-1105-52B9-4232-ED9C0A8574D6	57B8CCA1-A06F-1237-4009-C1EADBE91919	4	7A18BDA4-B299-52A5-877E-A86929AACB50	0	1584243253	{"level":2,"stage":1,"knivesThrown":22,"time":10.5,"levelTime":10.5,"levelKnivesThrown":22,"throwerSpeed":225}
5	1EEE20E9-E90E-E35A-F9F6-7FD3CDF13A79	47F76CE7-DBB5-7752-9238-8ED59CAB6798	1	1FA0AD99-F035-60C1-A1FC-C4C7F364622C	1	1584250418	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
5	1EEE20E9-E90E-E35A-F9F6-7FD3CDF13A79	47F76CE7-DBB5-7752-9238-8ED59CAB6798	1	1FA0AD99-F035-60C1-A1FC-C4C7F364622C	0	1584250427	{"level":1,"stage":1,"knivesThrown":6,"time":9.2166666666667,"levelTime":9.2166666666667,"levelKnivesThrown":6,"throwerSpeed":225}
5	1EEE20E9-E90E-E35A-F9F6-7FD3CDF13A79	47F76CE7-DBB5-7752-9238-8ED59CAB6798	2	1422FEC2-5FC8-F4B7-83CE-F566AE8F4749	1	1584250428	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
