cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail
6	4435A9E9-C4A9-9F64-081B-E7DAA5BD0580	AD4AB90D-A6F6-ACD4-1B9A-BB0BF9D62E50	1	4C6EDDF6-298C-59C3-F0F8-949535A9AEEB	1	1584241813	{"level":1,"stage":1,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
6	4435A9E9-C4A9-9F64-081B-E7DAA5BD0580	AD4AB90D-A6F6-ACD4-1B9A-BB0BF9D62E50	2	94D6BE75-3FDF-2BEB-555E-C65A03565628	1	1584241867	{"level":1,"stage":2,"hasCompleted":true,"replayCount":"1","throwerSpeed":225}
6	4435A9E9-C4A9-9F64-081B-E7DAA5BD0580	AD4AB90D-A6F6-ACD4-1B9A-BB0BF9D62E50	1	4C6EDDF6-298C-59C3-F0F8-949535A9AEEB	0	1584241867	{"level":1,"stage":1,"knivesThrown":5,"time":7,"levelTime":7,"levelKnivesThrown":5,"throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	1	599944CE-20C5-72BD-AB8F-825357C80C6A	1	1584244536	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	1	599944CE-20C5-72BD-AB8F-825357C80C6A	0	1584244538	{"level":1,"stage":1,"knivesThrown":15,"time":2.2166666666667,"levelTime":2.2166666666667,"levelKnivesThrown":15,"throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	2	DDB143E6-C5D9-808A-48B0-C154614870F2	1	1584244538	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	3	2BF85941-9404-73CE-8C86-CC668B35F08B	1	1584244540	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	2	DDB143E6-C5D9-808A-48B0-C154614870F2	0	1584244540	{"level":1,"stage":2,"knivesThrown":33,"time":4.2166666666667,"levelTime":2,"levelKnivesThrown":18,"throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	3	2BF85941-9404-73CE-8C86-CC668B35F08B	0	1584244542	{"level":1,"stage":3,"knivesThrown":51,"time":6.2833333333333,"levelTime":2.0666666666667,"levelKnivesThrown":18,"throwerSpeed":225,"completeStar":true,"timePar":10,"knivesPar":13,"timeStar":true,"knivesStar":false}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	4	48E5B092-6710-51C6-A356-7963A3E06549	1	1584244543	{"level":2,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	5	586D314E-AD3E-6203-3130-FDA304BC179E	1	1584244550	{"level":2,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	4	NULL	0	1584244550	{"level":2,"stage":1,"knivesThrown":26,"time":4.0833333333333,"levelTime":4.0833333333333,"levelKnivesThrown":26,"throwerSpeed":225}
6	04190E0D-1105-52B9-4232-ED9C0A8574D6	A963E53F-5124-AEF5-DF1E-CD5DD9A6BC30	6	FA17B08E-3D7F-2423-890E-984364D5B9EB	1	1584244555	{"level":2,"stage":3,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
