cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail
8	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	41E01FEB-B6E1-9861-F4C2-BC7D4389816E	1	5FD77B01-F8FF-20A0-CDE5-93866616B844	1	1584244159	{"level":1,"stage":1,"hasCompleted":true,"replayCount":"3","throwerSpeed":225}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	1	A527981E-7E67-BB99-6903-4ADA440FE1CE	1	1584245604	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	1	A527981E-7E67-BB99-6903-4ADA440FE1CE	0	1584245614	{"level":1,"stage":1,"knivesThrown":6,"time":10.283333333333,"levelTime":10.283333333333,"levelKnivesThrown":6,"throwerSpeed":225}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	2	8E753327-797F-2988-351D-D62B5ED7CB2E	1	1584245615	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	2	8E753327-797F-2988-351D-D62B5ED7CB2E	0	1584245623	{"level":1,"stage":2,"knivesThrown":16,"time":18.633333333334,"levelTime":8.35,"levelKnivesThrown":10,"throwerSpeed":225}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	3	F364E606-DB37-468D-5D71-94929C86061B	1	1584245623	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	3	F364E606-DB37-468D-5D71-94929C86061B	0	1584245634	{"level":1,"stage":3,"knivesThrown":23,"time":29.366666666666,"levelTime":10.733333333333,"levelKnivesThrown":7,"throwerSpeed":225,"completeStar":true,"timePar":10,"knivesPar":13,"timeStar":false,"knivesStar":false}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	4	A751E7EB-D79C-7559-2511-1A7DEF23532A	1	1584245639	{"level":2,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	5	8BE895EA-32FF-18E5-51CF-09E61E4F071E	1	1584245650	{"level":2,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
8	9DB334AD-BDFF-AE82-A19D-81B892C42D06	4050C5AB-D820-FB65-000F-A5C3FA5A8761	4	A751E7EB-D79C-7559-2511-1A7DEF23532A	0	1584245650	{"level":2,"stage":1,"knivesThrown":6,"time":10.516666666667,"levelTime":10.516666666667,"levelKnivesThrown":6,"throwerSpeed":225}
