cid	uid	sessionid	qid	dqid	aid	qaction_seqid	log_ts	a_detail
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	4	F8001B82-55ED-E601-89EF-F6EEA6C06B01	4	47	1584245996	{"level":2,"stage":1,"targetsLeft":1,"knivesThrown":38,"time":20.25,"levelTime":20.25,"levelKnivesThrown":38,"throwerSpeed":225,"skipOffered":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	4	F8001B82-55ED-E601-89EF-F6EEA6C06B01	4	47	1584245996	{"level":2,"stage":1,"targetsLeft":1,"knivesThrown":38,"time":20.25,"levelTime":20.25,"levelKnivesThrown":38,"throwerSpeed":225,"skipOffered":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	5	7AE80293-FE4A-707C-ED81-808E37485AA4	4	35	1584246031	{"level":2,"stage":2,"targetsLeft":1,"knivesThrown":78,"time":57.699999999998,"levelTime":27.966666666666,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	5	7AE80293-FE4A-707C-ED81-808E37485AA4	4	35	1584246031	{"level":2,"stage":2,"targetsLeft":1,"knivesThrown":78,"time":57.699999999998,"levelTime":27.966666666666,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	6	35C619C6-3CBD-484A-61D4-45E41FF6ABBC	4	60	1584246053	{"level":2,"stage":3,"targetsLeft":1,"knivesThrown":126,"time":78.08333333333,"levelTime":20.183333333333,"levelKnivesThrown":48,"throwerSpeed":225,"skipOffered":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	6	35C619C6-3CBD-484A-61D4-45E41FF6ABBC	5	67	1584246055	{"level":2,"stage":3,"targetsLeft":1,"knivesThrown":129,"time":80.049999999997,"levelTime":22.15,"levelKnivesThrown":51,"throwerSpeed":225,"skipOffered":true,"skipped":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	9	8C324C64-ED18-A645-351B-AB63BC503E93	4	33	1584246092	{"level":3,"stage":3,"targetsLeft":1,"knivesThrown":38,"time":34.283333333333,"levelTime":20.733333333333,"levelKnivesThrown":28,"throwerSpeed":225,"skipOffered":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	9	8C324C64-ED18-A645-351B-AB63BC503E93	4	33	1584246092	{"level":3,"stage":3,"targetsLeft":1,"knivesThrown":38,"time":34.283333333333,"levelTime":20.733333333333,"levelKnivesThrown":28,"throwerSpeed":225,"skipOffered":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	11	8D802A68-2226-D41A-897A-C31C37BB91A0	4	27	1584246127	{"level":4,"stage":2,"targetsLeft":1,"knivesThrown":29,"time":32.849999999999,"levelTime":25.6,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
7	DA0A577D-D122-6853-2D13-AF060EEAB713	C9D66F75-E4F5-B988-3A8D-67E5087B6F71	11	8D802A68-2226-D41A-897A-C31C37BB91A0	5	172	1584246168	{"level":4,"stage":2,"targetsLeft":1,"knivesThrown":166,"time":72.316666666664,"levelTime":65.066666666664,"levelKnivesThrown":162,"throwerSpeed":225,"skipOffered":true,"skipped":true}
